,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,encode_type,cluster,varX,varY,varZ
86,photo,293,6,1,275,15,3,0,0,0,1,2,-0.18986795931127332,0.3536207199273214,0.48317659896608395
87,photo,236,12,0,226,8,1,1,0,0,1,2,-0.26004209038881454,0.23061078159694753,0.41165984991064586
88,photo,312,10,0,291,18,3,0,0,0,1,2,-0.16180428657463364,0.3826024872038192,0.48349273358625006
89,photo,24,12,0,24,0,0,0,0,0,1,2,-0.49432065795695307,-0.1665843740801673,0.3589524278760164
90,link,16,9,0,15,1,0,0,0,0,0,2,-0.6303962049246598,-0.047129973428853084,0.7931492465696316
91,photo,33,12,0,32,1,0,0,0,0,1,2,-0.4830185573361924,-0.15139177203705007,0.35807443830359326
92,photo,675,10,0,645,29,1,0,0,0,1,2,0.08892186755074269,1.1021253290354913,0.19116182239513377
93,photo,737,18,0,697,31,9,0,0,0,1,2,0.2799902483361414,1.2476867195977834,0.7178974815277814
94,photo,572,16,0,554,16,2,0,0,0,1,2,-0.030719084915959854,0.9360402676962121,0.26218951671429774
95,photo,23,7,0,20,3,0,0,0,0,1,2,-0.47856294440552927,-0.17926761987591291,0.3733899271956116
96,photo,266,25,0,250,11,5,0,0,0,1,2,-0.1924511315059584,0.3152559822753765,0.6137692261422898
97,video,378,512,30,348,27,2,0,0,1,3,0,0.5145625285542604,-0.03689012546058117,-0.42228238777192806
98,video,421,709,30,373,45,2,0,1,0,3,0,0.5675574274173218,0.009373376727449163,-0.9600622167675381
99,video,1493,1979,753,1333,139,9,3,8,1,3,3,4.104777448893472,0.36185263885226004,-3.0080386909743337
100,photo,76,17,0,76,0,0,0,0,0,1,2,-0.46150098638374787,-0.057567248292474824,0.328805460602426
101,photo,36,11,0,34,2,0,0,0,0,1,2,-0.47559069243197577,-0.14869731494332877,0.3608286673258217
102,photo,19,8,0,18,0,0,1,0,0,1,2,-0.45741198396315025,-0.1997741168350738,0.4297136823752231
103,photo,27,10,0,27,0,0,0,0,0,1,2,-0.492899702351074,-0.15985811781483766,0.3580446780423666
104,photo,117,2,53,108,9,0,0,0,0,1,2,-0.29309009472135583,-0.060129948081756916,0.34576233707220483
105,photo,146,1,0,145,1,0,0,0,0,1,2,-0.41621332088650204,0.08968435107811386,0.30050741103751893
106,photo,166,0,13,151,7,0,0,8,0,1,2,0.07942615115256312,-0.31937121014822745,-2.235740182510335
107,photo,190,0,31,171,0,0,0,19,0,1,2,0.6708402703645379,-0.8310486374258746,-5.783065170327252
108,photo,217,16,0,213,4,0,0,0,0,1,2,-0.35231305952889225,0.2254518565451003,0.26845153693752954
109,photo,458,14,0,451,3,4,0,0,0,1,2,-0.14124656879115616,0.7511752905321799,0.4115381656126309
110,photo,553,15,0,538,12,3,0,0,0,1,2,-0.04825250069472382,0.914369248591582,0.32622427397535414
111,photo,203,18,11,190,7,6,0,0,0,1,2,-0.21856091860919705,0.18972979069026896,0.7034610286456665
112,photo,1005,25,1,979,16,9,1,0,0,1,1,0.40082507003099277,1.8462754466817644,0.5755033322150882
113,video,202,145,23,182,19,0,0,0,1,3,0,0.23737264871709124,-0.30663291571205586,-0.36377848838670696
114,photo,428,14,0,419,4,5,0,0,0,1,2,-0.13629554417730402,0.6868455691141625,0.5013291294451262
115,photo,479,17,0,462,10,7,0,0,0,1,2,-0.03471856256884986,0.7769966447224477,0.6354481323492464
116,video,212,116,11,201,10,1,0,0,0,3,0,0.009860930777628094,-0.11552934008888165,-0.5215262722469203
117,video,225,157,17,211,14,0,0,0,0,3,0,0.042653937631222064,-0.12069915909813494,-0.5970957785200659
118,video,171,46,5,156,12,2,1,0,0,3,0,0.029557853651773235,-0.2104642173120068,-0.32942929422118666
119,video,247,120,16,232,14,1,0,0,0,3,0,0.06417453593867653,-0.06306799489080483,-0.52617168687901
120,video,269,453,39,242,26,1,0,0,0,3,0,0.25687810948296147,-0.15117495211932108,-0.611881680920878
121,video,258,486,32,235,23,0,0,0,0,3,0,0.20962954373860648,-0.1645674727777123,-0.6990614726243258
122,photo,109,2,1,104,5,0,0,0,0,1,2,-0.4136448707834543,-0.005205318764083952,0.33635844040698626
123,photo,97,5,0,96,0,1,0,0,0,1,2,-0.4336519330462735,-0.007908904902090563,0.39114579134117633
124,video,280,199,25,254,24,2,0,0,0,3,0,0.19215502964642517,-0.05358567959886505,-0.4635849724266234
125,video,325,77,21,293,30,1,1,0,0,3,0,0.24546632364562804,0.019832208612150095,-0.42227919101393085
126,photo,51,11,0,51,0,0,0,0,0,1,2,-0.47802215418776933,-0.10929291746849533,0.3446058350201708
127,video,280,825,47,243,35,1,1,0,0,3,0,0.4476273291241545,-0.2655532573058675,-0.6505866153474973
128,video,688,0,0,632,34,0,0,22,0,3,0,1.5497290125001013,-0.30945546885968495,-7.721553111442557
129,video,365,805,46,320,39,1,3,0,2,3,0,0.941633966530712,-0.3707333458677284,-0.14717542183321464
130,photo,295,5,0,295,0,0,0,0,0,1,2,-0.3301049304263131,0.40787240789873624,0.2138516554929514
131,photo,27,14,0,26,1,0,0,0,0,1,2,-0.4862733983498651,-0.16446253753520407,0.36061662554183366
132,photo,15,11,0,15,0,0,0,0,0,1,2,-0.5000287790812906,-0.1854270282623878,0.3642190838752589
133,photo,16,12,0,16,0,0,0,0,0,1,2,-0.4992110190444023,-0.18350306536769892,0.3633109276215917
134,photo,29,12,0,29,0,0,0,0,0,1,2,-0.4912641822772974,-0.15601019202546004,0.356228365535032
135,video,28,6,0,28,0,0,0,0,0,3,0,-0.22038179566943905,-0.43626258142977326,-0.49049268918450867
136,photo,8,8,0,8,0,0,0,0,0,1,2,-0.5049272397356802,-0.1996582625902201,0.3691228025090484
137,photo,10,9,0,10,0,0,0,0,0,1,2,-0.5034981845628608,-0.1956194632845897,0.36766983378718415
138,photo,39,8,0,39,0,0,0,0,0,1,2,-0.48597709052181465,-0.13409833385103492,0.3522336159949448
139,photo,49,11,0,47,2,0,0,0,0,1,2,-0.467643855664871,-0.12120444160108977,0.35374610523926203
140,video,226,449,37,189,25,1,1,10,0,3,0,0.7933280042435015,-0.7766873905019497,-3.7109552931525904
141,video,104,49,13,91,12,0,0,1,0,3,0,-0.01911166892131361,-0.39575080082396896,-0.8184633089200188
142,photo,251,17,0,244,7,0,0,0,0,1,2,-0.31392122681413526,0.2856426440347899,0.2616405371574109
143,video,244,589,48,213,29,1,1,0,0,3,0,0.3438704488624813,-0.274681810831688,-0.5694211477032263
144,video,252,558,41,204,45,1,1,0,1,3,0,0.5943057050689311,-0.4195593196105915,-0.30122623956654637
145,video,121,15,4,114,4,2,1,0,0,3,0,-0.05558899789552033,-0.2784754071127131,-0.3230826158588068
146,photo,321,5,0,307,11,2,1,0,0,1,2,-0.17463649065482037,0.4031415107402546,0.4493914316814892
147,photo,103,8,3,99,4,0,0,0,0,1,2,-0.418318041306635,-0.01737094567126905,0.33333197239451157
148,video,136,31,16,122,14,0,0,0,0,3,0,-0.03954403462927479,-0.2837833901244026,-0.5027811731475281
149,video,337,247,27,300,35,1,1,0,0,3,0,0.3275718862785521,-0.012959759494410403,-0.4707286433579743
150,photo,648,13,0,627,18,3,0,0,0,1,2,0.044210273801102415,1.0926149007313914,0.2993457129156825
151,video,175,157,14,157,18,0,0,0,0,3,0,0.029956575498120974,-0.2385462427675667,-0.5536189283435993
152,video,339,424,36,296,38,1,4,0,0,3,0,0.5211162738220313,-0.13394995880813618,-0.32470750795324455
153,photo,341,3,0,331,8,2,0,0,0,1,2,-0.22101586020753994,0.48072181772286604,0.36056208494810527
154,video,177,131,27,150,27,0,0,0,0,3,0,0.10113073726780161,-0.2780420939172622,-0.5096184346242739
155,photo,201,0,0,195,4,2,0,0,0,1,2,-0.3304183515302928,0.20058104336124297,0.42182457128668666
156,photo,43,7,0,41,2,0,0,0,0,1,2,-0.47213748608428685,-0.13312996600172786,0.35846835519032505
157,photo,40,7,0,39,1,0,0,0,0,1,2,-0.47977181588946033,-0.13563354957919654,0.356077469953567
158,photo,58,14,0,57,1,0,0,0,0,1,2,-0.4673232491359995,-0.09890260879601889,0.3437274390277301
159,video,403,525,42,363,36,1,3,0,0,3,0,0.5393689852983807,0.006665373428392179,-0.4711775629518495
160,photo,148,4,3,144,4,0,0,0,0,1,2,-0.3916356197935622,0.07856018688610719,0.31026878646753303
161,photo,150,24,2,144,6,0,0,0,0,1,2,-0.3764609703498177,0.07237668457191361,0.31000790983817095
162,photo,53,12,0,53,0,0,0,0,0,1,2,-0.47659309901494984,-0.105254118162865,0.3431528662983066
163,status,144,15,8,140,4,0,0,0,0,2,2,-0.2465528126418832,-0.07707089698032211,-0.11649660391884542
164,video,298,491,46,262,34,2,0,0,0,3,0,0.3587912176289377,-0.1324720239947007,-0.5401793092066299
165,photo,171,4,1,166,5,0,0,0,0,1,2,-0.37533164255380896,0.12553279168178114,0.301853379807838
166,photo,4410,633,257,4315,73,17,5,0,0,1,1,3.6967211861311293,8.3643902152442,-0.46086190361521967
167,video,374,588,46,327,47,0,0,0,0,3,0,0.46570365192968155,-0.04610381449044566,-0.7033427439331704
168,photo,181,20,0,180,1,0,0,0,0,1,2,-0.3908951580107258,0.16007702865226453,0.2745354427266897
169,photo,267,20,1,249,8,10,0,0,0,1,2,-0.12104819495290123,0.34354329956186963,0.9500265216698566
170,photo,60,7,0,59,1,0,0,0,0,1,2,-0.4675459131708374,-0.0933368213603674,0.3451812205896292
171,photo,98,23,5,95,2,1,0,0,0,1,2,-0.4088327426882442,-0.02234237559284895,0.3918865423484978
172,video,26,7,0,26,0,0,0,0,0,3,0,-0.22139792104034411,-0.44068312776790874,-0.48976640803358495
173,photo,255,18,0,244,11,0,0,0,0,1,2,-0.28806780377993235,0.27854741354088,0.27519923406454794
174,photo,174,6,1,167,5,2,0,0,0,1,2,-0.3381059587552887,0.13740814701326381,0.4383347891227867
175,photo,64,5,1,59,5,0,0,0,0,1,2,-0.4405337571974842,-0.10094557780520749,0.35978497011943517
176,photo,62,3,0,58,4,0,0,0,0,1,2,-0.4497478493106628,-0.0998664314395412,0.35762093871916334
177,video,192,417,40,168,22,1,1,0,0,3,0,0.22174300691159304,-0.3162474078201927,-0.5064131968755792
178,photo,110,18,6,110,0,0,0,0,0,1,2,-0.4298417210090015,0.007629437165153464,0.30964862049580727
179,photo,119,12,7,117,2,0,0,0,0,1,2,-0.4121998377545819,0.019040208150742838,0.31493103754381285
180,photo,42,11,0,41,0,1,0,0,0,1,2,-0.4660343761167434,-0.12537014860138668,0.41893041437918305
181,video,234,355,34,178,52,2,0,1,1,3,0,0.5994573735938489,-0.46362436703380006,-0.5049915044688248
182,photo,54,10,0,53,1,0,0,0,0,1,2,-0.4705942892835527,-0.10659846037477415,0.3473600640423992
183,photo,82,8,0,80,1,0,0,1,0,1,2,-0.4006782417180407,-0.09879850690257584,0.014171764968973505
184,photo,18,8,0,18,0,0,0,0,0,1,2,-0.49881428837636865,-0.1785098984808055,0.36367467782707963
185,photo,147,17,7,141,5,1,0,0,0,1,2,-0.35916048195717687,0.06873477967535493,0.3793568045762342
186,photo,80,8,0,79,1,0,0,0,0,1,2,-0.4551135455512573,-0.05123096665779097,0.3339216274402209
187,video,299,564,42,262,34,1,1,0,1,3,0,0.5622486051342763,-0.2801432136846336,-0.3733360160732013
188,photo,629,11,1,607,18,4,0,0,0,1,2,0.051450298352924265,1.0546849060219023,0.37980012579386213
189,photo,69,2,0,67,2,0,0,0,0,1,2,-0.45727613705486275,-0.07718985173598682,0.34611994994455797
190,video,219,110,17,190,26,1,2,0,0,3,0,0.19795910208819267,-0.2143100431290161,-0.3258569729196691
191,photo,30,2,0,27,3,0,0,0,0,1,2,-0.47531620295879706,-0.16350939741805945,0.37139295884558554
192,photo,65,1,0,62,2,1,0,0,0,1,2,-0.4424383482051381,-0.08250202729791817,0.41808381074805606
193,photo,161,7,0,153,8,0,0,0,0,1,2,-0.3652019936601296,0.09337517655722938,0.31833241979118415
194,video,398,605,30,348,44,3,3,0,0,3,0,0.6128745937588932,-0.030959744041952505,-0.32593614322231995
195,photo,47,7,0,47,0,0,0,0,0,1,2,-0.48129319433532275,-0.11698876904725053,0.3482384600348399
196,photo,182,3,4,177,5,0,0,0,0,1,2,-0.36347947803345854,0.14572842621932552,0.29608885024191556
197,video,317,158,32,269,47,1,0,0,0,3,0,0.33467556907612606,-0.06641153036425387,-0.44599963607603677
198,video,571,888,107,459,107,1,1,1,2,3,0,1.5592240515039366,-0.2833965316441741,-0.47041395918992074
199,photo,16,10,0,15,1,0,0,0,0,1,2,-0.49382350444893636,-0.1869622439905495,0.3680629378338811
200,photo,30,9,0,30,0,0,0,0,0,1,2,-0.4912722818442377,-0.15332273506576063,0.35677358442324647
201,photo,57,7,0,57,0,0,0,0,0,1,2,-0.4751802429760111,-0.09584040493783598,0.34279033535287107
202,photo,74,6,3,74,0,0,0,0,0,1,2,-0.45966030764007376,-0.06295575193464283,0.3337569309777674
203,video,368,911,50,317,50,1,0,0,0,3,0,0.570727322177894,-0.13335604510493837,-0.7361165916966157
204,photo,19,3,0,19,0,0,0,0,0,1,2,-0.49923531774522334,-0.17544069448860075,0.36494658428623467
205,photo,176,3,0,175,0,1,0,0,0,1,2,-0.3857725471096274,0.1595449185947899,0.3488322939245626
206,photo,133,7,0,133,0,0,0,0,0,1,2,-0.42872181264524417,0.06488716229371481,0.3013845877699072
207,photo,162,6,2,158,3,1,0,0,0,1,2,-0.3727536958336076,0.11566951832740799,0.3673556475794696
208,video,734,996,73,601,116,11,6,0,0,3,0,1.655377523111437,0.23525600673641134,0.39195018018172445
209,status,42,16,9,41,1,0,0,0,0,2,2,-0.3243216571560221,-0.28253845394622423,-0.07341002260602135
210,status,33,6,3,31,2,0,0,0,0,2,2,-0.336756283843724,-0.29698729313939803,-0.0605780774937425
211,video,29,6,1,29,0,0,0,0,0,3,0,-0.21799237289148618,-0.4352338915185199,-0.4910824803864476
212,photo,43,6,0,42,1,0,0,0,0,1,2,-0.47814439538262404,-0.12909816683011954,0.3548063763344467
213,photo,14,6,0,13,1,0,0,0,0,1,2,-0.4958719543246274,-0.19042842274742172,0.37060593791215657
214,video,475,574,48,406,63,4,2,0,0,3,0,0.7724570734196543,0.07160686548901762,-0.2781140828167338
215,photo,50,8,2,49,1,0,0,0,0,1,2,-0.46989614434514837,-0.11684835198541085,0.35017604401864305
216,photo,94,23,6,94,0,0,0,0,0,1,2,-0.43859011867911385,-0.027162312991173075,0.3165489010596055
217,video,303,34,3,291,11,1,0,0,0,3,0,0.04013408953008114,0.09742064798165745,-0.5369248639329763
218,photo,168,7,1,167,1,0,0,0,0,1,2,-0.3997479108482521,0.13397936452162196,0.28629649529062245
219,photo,248,14,0,241,7,0,0,0,0,1,2,-0.3163745069248002,0.27987075535072337,0.26436500591841294
220,photo,422,6,0,410,8,3,1,0,0,1,2,-0.1126011159225522,0.6310281882607385,0.45134732782932624
221,photo,189,3,0,184,2,0,3,0,0,1,2,-0.2613412280103065,0.10626247976510628,0.48013056102448187
222,photo,390,17,2,382,5,3,0,0,0,1,2,-0.18452753354720472,0.5939833531637333,0.3860348027635809
223,photo,618,28,0,597,14,7,0,0,0,1,2,0.07572435282562932,1.053495594543108,0.5718237081950989
224,photo,191,2,2,188,2,1,0,0,0,1,2,-0.36165244089281345,0.18160419396507668,0.34898413850229243
225,video,321,1381,67,275,44,1,1,0,0,3,0,0.6752514670463738,-0.34126190038570553,-0.8396147421678277
226,photo,364,7,2,347,15,2,0,0,0,1,2,-0.16197084641158938,0.49954078852264233,0.37466532405965175
227,photo,51,10,0,51,0,0,0,0,0,1,2,-0.4782286190887265,-0.10910204395224268,0.3449691788056412
228,video,282,524,38,247,34,0,1,0,0,3,0,0.347410956737927,-0.19321070850497,-0.6153515420402041
229,photo,369,14,1,362,7,0,0,0,0,1,2,-0.24062966783511,0.5346798145749517,0.1983977185328466
230,photo,138,16,6,133,4,1,0,0,0,1,2,-0.37244717512091646,0.054819197648178344,0.3806431166678702
231,photo,96,9,1,93,1,2,0,0,0,1,2,-0.4083693622445676,-0.012758010967504655,0.4636388397203382
232,photo,186,11,0,184,1,1,0,0,0,1,2,-0.37220743214527835,0.17532536891882752,0.3445027416001791
233,photo,487,15,0,461,14,12,0,0,0,1,2,0.08040781777823727,0.7937148632489707,0.995023946466208
234,video,282,19,4,257,20,3,2,0,0,3,0,0.19474293252300098,-0.020627807701469433,-0.2118405519572275
235,photo,383,8,1,367,13,3,0,0,0,1,2,-0.14603935607031654,0.5512561011902589,0.42536614397472516
236,photo,216,0,1,211,5,0,0,0,0,1,2,-0.3486492210407361,0.22146392423915734,0.2787901938808594
237,photo,48,0,0,45,2,1,0,0,0,1,2,-0.4530368304169248,-0.11826337276767031,0.4277089664928737
238,video,885,462,26,659,220,0,2,0,0,3,0,1.8004142535383234,0.36471637764720155,-0.10428073639983632
239,photo,185,11,1,175,10,0,0,0,0,1,2,-0.3363260343571713,0.1345997585444141,0.3118092119615323
240,photo,259,1,1,251,7,0,1,0,0,1,2,-0.26976516722269195,0.2811501103174661,0.3296343762619608
241,photo,299,9,0,291,8,0,0,0,0,1,2,-0.2804303350997174,0.3848408542346453,0.2424216116090722
242,photo,199,9,1,186,13,0,0,0,0,1,2,-0.3107794990639086,0.15306643836403247,0.3169844929017629
243,photo,717,40,1,680,30,7,0,0,0,1,2,0.23330538809440518,1.1980329600458999,0.577887331945799
244,photo,155,2,0,150,5,0,0,0,0,1,2,-0.3873034221726432,0.09316330263891125,0.3113420456036714
245,photo,293,8,0,282,11,0,0,0,0,1,2,-0.2669032376241205,0.3608199323191819,0.25812979812777015
246,photo,243,6,0,237,5,1,0,0,0,1,2,-0.31519415631246767,0.2814617093023307,0.33136644040570334
247,photo,264,2,0,256,2,5,0,0,0,1,2,-0.25091215952438417,0.3488857414784905,0.5872958134103176
248,photo,313,3,0,297,7,6,0,0,0,1,2,-0.17483206757774472,0.43387554089314034,0.6504004571110894
249,photo,208,1,0,201,7,0,0,0,0,1,2,-0.3435103560744891,0.19775865462434958,0.29088097385740397
250,photo,216,0,0,209,6,1,0,0,0,1,2,-0.3271374699909713,0.22166544164907154,0.3522817624011907
