,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,encode_type,weekdays,hours,popularity,positive,negtive,cluster
35,photo,293,8,0,281,11,1,0,0,0,1,0,2,301,293,0,2
36,video,128,137,26,110,16,2,0,0,0,3,4,9,291,128,0,0
37,photo,84,15,13,78,5,1,0,0,0,1,2,8,112,84,0,2
38,photo,66,11,6,61,4,1,0,0,0,1,2,1,83,66,0,2
39,video,171,292,28,150,19,1,1,0,0,3,0,8,491,171,0,2
40,video,90,72,23,79,10,1,0,0,0,3,6,10,185,90,0,0
41,video,139,39,9,121,16,1,1,0,0,3,2,0,187,139,0,2
42,video,236,181,21,201,33,0,1,0,1,3,0,0,438,235,1,2
43,video,225,210,34,193,30,0,2,0,0,3,6,7,469,225,0,0
44,photo,275,12,0,260,11,4,0,0,0,1,5,22,287,275,0,3
45,video,372,456,37,334,31,1,1,1,4,3,5,4,865,367,5,0
46,photo,445,9,0,419,23,3,0,0,0,1,3,3,454,445,0,2
47,video,128,60,11,114,13,0,0,0,1,3,2,8,199,127,1,2
48,video,186,235,46,163,19,0,3,0,1,3,1,1,467,185,1,2
49,video,309,444,36,254,42,2,8,3,0,3,0,3,789,306,3,2
50,photo,77,11,3,75,2,0,0,0,0,1,6,5,91,77,0,0
51,video,119,72,28,103,16,0,0,0,0,3,5,7,219,119,0,0
52,photo,100,21,13,95,5,0,0,0,0,1,4,1,134,100,0,0
53,video,240,255,111,193,44,1,1,0,1,3,3,9,606,239,1,2
54,video,164,136,48,146,15,2,0,1,0,3,2,8,348,163,1,2
55,video,202,327,42,171,30,1,0,0,0,3,1,8,571,202,0,2
56,video,211,284,46,186,25,0,0,0,0,3,0,9,541,211,0,2
57,video,148,114,16,136,10,0,2,0,0,3,6,3,278,148,0,0
58,video,97,81,16,84,13,0,0,0,0,3,5,8,194,97,0,0
59,video,279,292,34,254,20,3,1,1,0,3,4,9,605,278,1,0
60,photo,263,8,0,245,14,4,0,0,0,1,4,7,271,263,0,0
61,video,177,193,34,151,25,1,0,0,0,3,4,6,404,177,0,0
62,photo,517,32,1,484,26,7,0,0,0,1,6,7,550,517,0,0
63,video,289,258,33,256,33,0,0,0,0,3,6,5,580,289,0,0
64,photo,66,13,0,65,1,0,0,0,0,1,4,13,79,66,0,0
65,photo,112,6,0,104,8,0,0,0,0,1,4,13,118,112,0,0
66,video,206,259,48,181,22,1,2,0,0,3,4,8,513,206,0,0
67,video,362,468,86,305,56,0,0,1,0,3,3,8,916,361,1,2
68,video,184,130,51,161,23,0,0,0,0,3,1,9,365,184,0,2
69,video,216,251,34,199,16,0,0,0,1,3,0,9,501,215,1,2
70,video,57,0,0,56,1,0,0,0,0,3,0,9,57,57,0,2
71,video,272,258,43,226,44,1,1,0,0,3,6,9,573,272,0,0
72,video,248,247,34,208,33,3,2,0,2,3,5,23,529,246,2,3
73,video,132,89,40,110,20,1,0,0,1,3,5,9,261,131,1,0
74,video,226,341,41,196,30,0,0,0,0,3,4,9,608,226,0,0
75,video,35,1,0,35,0,0,0,0,0,3,4,9,36,35,0,0
76,video,219,316,36,170,46,3,0,0,0,3,3,8,571,219,0,2
77,video,94,1,1,94,0,0,0,0,0,3,3,5,96,94,0,2
78,video,259,368,50,234,25,0,0,0,0,3,2,9,677,259,0,2
79,video,62,1,0,62,0,0,0,0,0,3,1,22,63,62,0,3
80,video,127,76,21,114,13,0,0,0,0,3,1,22,224,127,0,3
81,video,149,63,15,134,15,0,0,0,0,3,1,0,227,149,0,2
82,video,134,171,41,116,18,0,0,0,0,3,5,9,346,134,0,0
83,video,392,461,47,360,32,0,0,0,0,3,3,9,900,392,0,2
84,video,310,540,41,284,26,0,0,0,0,3,2,8,891,310,0,2
85,photo,14,3,0,12,2,0,0,0,0,1,1,23,17,14,0,3
86,photo,293,6,1,275,15,3,0,0,0,1,1,6,300,293,0,2
87,photo,236,12,0,226,8,1,1,0,0,1,6,10,248,236,0,0
88,photo,312,10,0,291,18,3,0,0,0,1,3,8,322,312,0,2
89,photo,24,12,0,24,0,0,0,0,0,1,6,23,36,24,0,3
90,link,16,9,0,15,1,0,0,0,0,0,4,2,25,16,0,0
91,photo,33,12,0,32,1,0,0,0,0,1,3,6,45,33,0,2
92,photo,675,10,0,645,29,1,0,0,0,1,1,1,685,675,0,2
93,photo,737,18,0,697,31,9,0,0,0,1,0,8,755,737,0,2
94,photo,572,16,0,554,16,2,0,0,0,1,6,1,588,572,0,0
95,photo,23,7,0,20,3,0,0,0,0,1,2,22,30,23,0,3
96,photo,266,25,0,250,11,5,0,0,0,1,1,1,291,266,0,2
97,video,378,512,30,348,27,2,0,0,1,3,1,0,920,377,1,2
98,video,421,709,30,373,45,2,0,1,0,3,5,22,1160,420,1,3
99,video,1493,1979,753,1333,139,9,3,8,1,3,5,1,4225,1484,9,1
100,photo,76,17,0,76,0,0,0,0,0,1,3,0,93,76,0,2
101,photo,36,11,0,34,2,0,0,0,0,1,3,0,47,36,0,2
102,photo,19,8,0,18,0,0,1,0,0,1,3,21,27,19,0,3
103,photo,27,10,0,27,0,0,0,0,0,1,0,23,37,27,0,3
104,photo,117,2,53,108,9,0,0,0,0,1,3,12,172,117,0,2
105,photo,146,1,0,145,1,0,0,0,0,1,3,11,147,146,0,2
106,photo,166,0,13,151,7,0,0,8,0,1,2,22,179,158,8,3
107,photo,190,0,31,171,0,0,0,19,0,1,2,22,221,171,19,3
108,photo,217,16,0,213,4,0,0,0,0,1,1,3,233,217,0,2
109,photo,458,14,0,451,3,4,0,0,0,1,1,1,472,458,0,2
110,photo,553,15,0,538,12,3,0,0,0,1,0,3,568,553,0,2
111,photo,203,18,11,190,7,6,0,0,0,1,0,3,232,203,0,2
112,photo,1005,25,1,979,16,9,1,0,0,1,6,0,1031,1005,0,0
113,video,202,145,23,182,19,0,0,0,1,3,5,23,370,201,1,3
114,photo,428,14,0,419,4,5,0,0,0,1,5,3,442,428,0,0
115,photo,479,17,0,462,10,7,0,0,0,1,4,6,496,479,0,0
116,video,212,116,11,201,10,1,0,0,0,3,4,3,339,212,0,0
117,video,225,157,17,211,14,0,0,0,0,3,3,2,399,225,0,2
118,video,171,46,5,156,12,2,1,0,0,3,2,9,222,171,0,2
119,video,247,120,16,232,14,1,0,0,0,3,2,2,383,247,0,2
120,video,269,453,39,242,26,1,0,0,0,3,1,5,761,269,0,2
121,video,258,486,32,235,23,0,0,0,0,3,1,2,776,258,0,2
122,photo,109,2,1,104,5,0,0,0,0,1,1,1,112,109,0,2
123,photo,97,5,0,96,0,1,0,0,0,1,0,22,102,97,0,3
124,video,280,199,25,254,24,2,0,0,0,3,0,6,504,280,0,2
125,video,325,77,21,293,30,1,1,0,0,3,0,5,423,325,0,2
126,photo,51,11,0,51,0,0,0,0,0,1,6,22,62,51,0,3
127,video,280,825,47,243,35,1,1,0,0,3,6,2,1152,280,0,0
128,video,688,0,0,632,34,0,0,22,0,3,5,10,688,666,22,0
129,video,365,805,46,320,39,1,3,0,2,3,5,3,1216,363,2,0
130,photo,295,5,0,295,0,0,0,0,0,1,3,21,300,295,0,3
131,photo,27,14,0,26,1,0,0,0,0,1,2,22,41,27,0,3
132,photo,15,11,0,15,0,0,0,0,0,1,4,8,26,15,0,0
133,photo,16,12,0,16,0,0,0,0,0,1,2,23,28,16,0,3
134,photo,29,12,0,29,0,0,0,0,0,1,6,3,41,29,0,0
135,video,28,6,0,28,0,0,0,0,0,3,6,1,34,28,0,0
136,photo,8,8,0,8,0,0,0,0,0,1,3,23,16,8,0,3
137,photo,10,9,0,10,0,0,0,0,0,1,3,0,19,10,0,2
138,photo,39,8,0,39,0,0,0,0,0,1,1,22,47,39,0,3
139,photo,49,11,0,47,2,0,0,0,0,1,0,22,60,49,0,3
140,video,226,449,37,189,25,1,1,10,0,3,6,1,712,216,10,0
141,video,104,49,13,91,12,0,0,1,0,3,6,1,166,103,1,0
142,photo,251,17,0,244,7,0,0,0,0,1,5,3,268,251,0,0
143,video,244,589,48,213,29,1,1,0,0,3,5,0,881,244,0,0
144,video,252,558,41,204,45,1,1,0,1,3,4,8,851,251,1,0
145,video,121,15,4,114,4,2,1,0,0,3,3,8,140,121,0,2
146,photo,321,5,0,307,11,2,1,0,0,1,3,1,326,321,0,2
147,photo,103,8,3,99,4,0,0,0,0,1,3,0,114,103,0,2
148,video,136,31,16,122,14,0,0,0,0,3,2,23,183,136,0,3
149,video,337,247,27,300,35,1,1,0,0,3,2,21,611,337,0,3
150,photo,648,13,0,627,18,3,0,0,0,1,2,9,661,648,0,2
151,video,175,157,14,157,18,0,0,0,0,3,2,0,346,175,0,2
152,video,339,424,36,296,38,1,4,0,0,3,1,7,799,339,0,2
153,photo,341,3,0,331,8,2,0,0,0,1,1,6,344,341,0,2
154,video,177,131,27,150,27,0,0,0,0,3,1,0,335,177,0,2
155,photo,201,0,0,195,4,2,0,0,0,1,2,3,201,201,0,2
156,photo,43,7,0,41,2,0,0,0,0,1,1,22,50,43,0,3
157,photo,40,7,0,39,1,0,0,0,0,1,0,6,47,40,0,2
158,photo,58,14,0,57,1,0,0,0,0,1,3,22,72,58,0,3
159,video,403,525,42,363,36,1,3,0,0,3,3,4,970,403,0,2
160,photo,148,4,3,144,4,0,0,0,0,1,3,2,155,148,0,2
161,photo,150,24,2,144,6,0,0,0,0,1,2,23,176,150,0,3
162,photo,53,12,0,53,0,0,0,0,0,1,2,7,65,53,0,2
163,status,144,15,8,140,4,0,0,0,0,2,2,6,167,144,0,2
164,video,298,491,46,262,34,2,0,0,0,3,2,3,835,298,0,2
165,photo,171,4,1,166,5,0,0,0,0,1,2,2,176,171,0,2
166,photo,4410,633,257,4315,73,17,5,0,0,1,6,5,5300,4410,0,1
167,video,374,588,46,327,47,0,0,0,0,3,3,8,1008,374,0,2
168,photo,181,20,0,180,1,0,0,0,0,1,2,8,201,181,0,2
169,photo,267,20,1,249,8,10,0,0,0,1,6,9,288,267,0,0
170,photo,60,7,0,59,1,0,0,0,0,1,6,4,67,60,0,0
171,photo,98,23,5,95,2,1,0,0,0,1,4,7,126,98,0,0
172,video,26,7,0,26,0,0,0,0,0,3,4,2,33,26,0,0
173,photo,255,18,0,244,11,0,0,0,0,1,3,2,273,255,0,2
174,photo,174,6,1,167,5,2,0,0,0,1,2,6,181,174,0,2
175,photo,64,5,1,59,5,0,0,0,0,1,1,10,70,64,0,2
176,photo,62,3,0,58,4,0,0,0,0,1,1,10,65,62,0,2
177,video,192,417,40,168,22,1,1,0,0,3,1,1,649,192,0,2
178,photo,110,18,6,110,0,0,0,0,0,1,1,0,134,110,0,2
179,photo,119,12,7,117,2,0,0,0,0,1,1,0,138,119,0,2
180,photo,42,11,0,41,0,1,0,0,0,1,6,4,53,42,0,0
181,video,234,355,34,178,52,2,0,1,1,3,5,23,623,232,2,3
182,photo,54,10,0,53,1,0,0,0,0,1,4,11,64,54,0,0
183,photo,82,8,0,80,1,0,0,1,0,1,4,11,90,81,1,0
184,photo,18,8,0,18,0,0,0,0,0,1,4,8,26,18,0,0
185,photo,147,17,7,141,5,1,0,0,0,1,1,9,171,147,0,2
186,photo,80,8,0,79,1,0,0,0,0,1,1,9,88,80,0,2
187,video,299,564,42,262,34,1,1,0,1,3,0,7,905,298,1,2
188,photo,629,11,1,607,18,4,0,0,0,1,5,2,641,629,0,0
189,photo,69,2,0,67,2,0,0,0,0,1,4,20,71,69,0,3
190,video,219,110,17,190,26,1,2,0,0,3,4,0,346,219,0,0
191,photo,30,2,0,27,3,0,0,0,0,1,3,23,32,30,0,3
192,photo,65,1,0,62,2,1,0,0,0,1,3,9,66,65,0,2
193,photo,161,7,0,153,8,0,0,0,0,1,3,3,168,161,0,2
194,video,398,605,30,348,44,3,3,0,0,3,3,1,1033,398,0,2
195,photo,47,7,0,47,0,0,0,0,0,1,2,5,54,47,0,2
196,photo,182,3,4,177,5,0,0,0,0,1,2,1,189,182,0,2
197,video,317,158,32,269,47,1,0,0,0,3,1,22,507,317,0,3
198,video,571,888,107,459,107,1,1,1,2,3,1,5,1566,568,3,2
199,photo,16,10,0,15,1,0,0,0,0,1,0,9,26,16,0,2
200,photo,30,9,0,30,0,0,0,0,0,1,6,1,39,30,0,0
201,photo,57,7,0,57,0,0,0,0,0,1,6,0,64,57,0,0
202,photo,74,6,3,74,0,0,0,0,0,1,5,1,83,74,0,0
203,video,368,911,50,317,50,1,0,0,0,3,3,4,1329,368,0,2
204,photo,19,3,0,19,0,0,0,0,0,1,3,4,22,19,0,2
205,photo,176,3,0,175,0,1,0,0,0,1,2,22,179,176,0,3
206,photo,133,7,0,133,0,0,0,0,0,1,2,6,140,133,0,2
207,photo,162,6,2,158,3,1,0,0,0,1,2,2,170,162,0,2
208,video,734,996,73,601,116,11,6,0,0,3,1,23,1803,734,0,3
209,status,42,16,9,41,1,0,0,0,0,2,1,0,67,42,0,2
210,status,33,6,3,31,2,0,0,0,0,2,0,9,42,33,0,2
211,video,29,6,1,29,0,0,0,0,0,3,4,1,36,29,0,0
212,photo,43,6,0,42,1,0,0,0,0,1,3,22,49,43,0,3
213,photo,14,6,0,13,1,0,0,0,0,1,3,8,20,14,0,2
214,video,475,574,48,406,63,4,2,0,0,3,2,9,1097,475,0,2
215,photo,50,8,2,49,1,0,0,0,0,1,1,23,60,50,0,3
216,photo,94,23,6,94,0,0,0,0,0,1,1,22,123,94,0,3
217,video,303,34,3,291,11,1,0,0,0,3,5,8,340,303,0,0
218,photo,168,7,1,167,1,0,0,0,0,1,5,7,176,168,0,0
219,photo,248,14,0,241,7,0,0,0,0,1,4,23,262,248,0,3
220,photo,422,6,0,410,8,3,1,0,0,1,4,8,428,422,0,0
221,photo,189,3,0,184,2,0,3,0,0,1,4,4,192,189,0,0
222,photo,390,17,2,382,5,3,0,0,0,1,4,2,409,390,0,0
223,photo,618,28,0,597,14,7,0,0,0,1,3,23,646,618,0,3
224,photo,191,2,2,188,2,1,0,0,0,1,3,8,195,191,0,2
225,video,321,1381,67,275,44,1,1,0,0,3,1,7,1769,321,0,2
226,photo,364,7,2,347,15,2,0,0,0,1,6,2,373,364,0,0
227,photo,51,10,0,51,0,0,0,0,0,1,3,0,61,51,0,2
228,video,282,524,38,247,34,0,1,0,0,3,2,7,844,282,0,2
229,photo,369,14,1,362,7,0,0,0,0,1,6,7,384,369,0,0
230,photo,138,16,6,133,4,1,0,0,0,1,5,8,160,138,0,0
231,photo,96,9,1,93,1,2,0,0,0,1,2,9,106,96,0,2
232,photo,186,11,0,184,1,1,0,0,0,1,1,5,197,186,0,2
233,photo,487,15,0,461,14,12,0,0,0,1,1,1,502,487,0,2
234,video,282,19,4,257,20,3,2,0,0,3,0,23,305,282,0,3
235,photo,383,8,1,367,13,3,0,0,0,1,0,4,392,383,0,2
236,photo,216,0,1,211,5,0,0,0,0,1,6,11,217,216,0,0
237,photo,48,0,0,45,2,1,0,0,0,1,6,9,48,48,0,0
238,video,885,462,26,659,220,0,2,0,0,3,6,7,1373,881,0,0
239,photo,185,11,1,175,10,0,0,0,0,1,6,7,197,185,0,0
240,photo,259,1,1,251,7,0,1,0,0,1,6,4,261,259,0,0
241,photo,299,9,0,291,8,0,0,0,0,1,6,2,308,299,0,0
242,photo,199,9,1,186,13,0,0,0,0,1,5,23,209,199,0,3
243,photo,717,40,1,680,30,7,0,0,0,1,5,4,758,717,0,0
244,photo,155,2,0,150,5,0,0,0,0,1,3,6,157,155,0,2
245,photo,293,8,0,282,11,0,0,0,0,1,2,4,301,293,0,2
246,photo,243,6,0,237,5,1,0,0,0,1,6,11,249,243,0,0
247,photo,264,2,0,256,2,5,0,0,0,1,1,23,266,263,0,3
248,photo,313,3,0,297,7,6,0,0,0,1,1,1,316,310,0,2
249,photo,208,1,0,201,7,0,0,0,0,1,0,9,209,208,0,2
250,photo,216,0,0,209,6,1,0,0,0,1,0,9,216,216,0,2
251,photo,247,6,0,234,9,1,0,0,0,1,0,5,253,244,0,2
252,photo,152,1,0,146,5,1,0,0,0,1,0,1,153,152,0,2
253,photo,387,3,0,368,16,1,0,0,0,1,6,7,390,385,0,0
254,photo,178,9,0,170,6,0,0,0,0,1,5,8,187,176,0,0
255,photo,218,4,0,212,5,1,0,0,0,1,5,6,222,218,0,0
256,photo,270,3,0,256,10,3,0,0,0,1,5,1,273,269,0,0
257,photo,351,4,1,344,6,0,0,0,0,1,3,9,356,350,0,2
258,photo,232,0,2,224,8,0,0,0,0,1,3,5,234,232,0,2
259,photo,252,3,0,244,4,4,0,0,0,1,3,5,255,252,0,2
260,photo,122,0,0,114,8,0,0,0,0,1,3,3,122,122,0,2
261,photo,209,4,0,199,9,1,0,0,0,1,2,7,213,209,0,2
262,photo,305,5,1,295,10,0,0,0,0,1,2,2,311,305,0,2
263,photo,71,10,2,70,1,0,0,0,0,1,0,6,83,71,0,2
264,photo,290,12,0,275,13,1,1,0,0,1,1,1,302,290,0,2
265,photo,67,6,3,66,0,1,0,0,0,1,6,23,76,67,0,3
266,photo,783,11,0,752,30,1,0,0,0,1,6,5,794,783,0,0
267,photo,77,2,0,76,1,0,0,0,0,1,6,3,79,77,0,0
268,video,22,0,0,22,0,0,0,0,0,3,5,3,22,22,0,0
269,photo,103,0,0,100,2,1,0,0,0,1,4,4,103,103,0,0
270,video,32,0,2,32,0,0,0,0,0,3,3,3,34,32,0,2
271,photo,239,5,2,229,8,0,0,2,0,1,2,22,246,237,2,3
272,photo,111,6,0,110,1,0,0,0,0,1,2,2,117,111,0,2
273,video,51,0,1,51,0,0,0,0,0,3,0,9,52,51,0,2
274,video,34,4,0,34,0,0,0,0,0,3,0,9,38,34,0,2
275,link,15,0,0,15,0,0,0,0,0,0,4,23,15,15,0,3
276,video,75,0,5,75,0,0,0,0,0,3,4,5,80,75,0,0
277,photo,177,2,0,173,2,2,0,0,0,1,3,8,179,177,0,2
278,photo,520,8,0,505,13,2,0,0,0,1,3,0,528,520,0,2
279,photo,134,2,0,132,2,0,0,0,0,1,1,10,136,134,0,2
280,photo,228,1,1,220,7,1,0,0,0,1,1,8,230,228,0,2
281,video,498,254,17,408,77,5,6,1,1,3,0,0,769,496,2,2
282,photo,166,5,2,159,7,0,0,0,0,1,5,0,173,166,0,0
283,video,272,265,20,228,44,0,0,0,0,3,3,3,557,272,0,2
284,photo,127,7,1,125,2,0,0,0,0,1,3,2,135,127,0,2
285,photo,30,0,0,29,0,1,0,0,0,1,2,8,30,30,0,2
286,link,33,1,1,33,0,0,0,0,0,0,2,0,35,33,0,2
287,photo,252,5,0,239,9,4,0,0,0,1,5,1,257,252,0,0
288,photo,287,0,0,286,0,1,0,0,0,1,4,9,287,287,0,0
289,photo,264,8,3,257,5,2,0,0,0,1,3,7,275,264,0,2
290,photo,152,5,1,148,3,1,0,0,0,1,3,6,158,152,0,2
291,photo,61,5,0,57,3,1,0,0,0,1,3,6,66,61,0,2
292,video,172,7,7,163,6,2,1,0,0,3,3,5,186,172,0,2
293,video,616,523,21,459,125,21,8,0,1,3,3,2,1160,613,1,2
294,photo,188,0,0,184,4,0,0,0,0,1,2,9,188,188,0,2
295,video,593,309,23,484,99,1,4,4,1,3,2,8,925,588,5,2
296,photo,189,2,0,182,5,2,0,0,0,1,1,1,191,189,0,2
297,photo,178,5,0,175,3,0,0,0,0,1,0,1,183,178,0,2
298,photo,318,7,0,313,4,1,0,0,0,1,4,9,325,318,0,0
299,photo,362,9,0,352,7,3,0,0,0,1,2,22,371,362,0,3
300,photo,48,6,0,48,0,0,0,0,0,1,2,0,54,48,0,2
301,photo,248,1,0,244,3,1,0,0,0,1,2,0,249,248,0,2
302,photo,520,2,0,509,11,0,0,0,0,1,1,5,522,520,0,2
303,photo,97,8,2,94,3,0,0,0,0,1,1,1,107,97,0,2
304,photo,400,16,0,392,6,2,0,0,0,1,6,3,416,400,0,0
305,photo,218,0,0,212,6,0,0,0,0,1,5,11,218,218,0,0
306,photo,77,13,4,77,0,0,0,0,0,1,5,9,94,77,0,0
307,photo,204,4,0,198,3,3,0,0,0,1,5,1,208,204,0,0
308,photo,405,6,0,399,6,0,0,0,0,1,4,0,411,405,0,0
309,photo,210,0,0,204,6,0,0,0,0,1,3,8,210,210,0,2
310,photo,214,1,0,208,5,1,0,0,0,1,2,22,215,214,0,3
311,photo,374,4,0,360,7,7,0,0,0,1,2,6,378,374,0,2
312,photo,457,3,0,444,10,3,0,0,0,1,2,6,460,457,0,2
313,photo,215,0,0,205,8,2,0,0,0,1,2,6,215,215,0,2
314,video,7,5,0,7,0,0,0,0,0,3,1,20,12,7,0,3
315,photo,38,6,3,38,0,0,0,0,0,1,0,9,47,38,0,2
316,photo,168,1,0,168,0,0,0,0,0,1,5,9,169,168,0,0
317,photo,277,0,0,274,2,1,0,0,0,1,5,8,277,277,0,0
318,photo,196,1,0,190,6,0,0,0,0,1,4,10,197,196,0,0
319,photo,100,3,0,99,1,0,0,0,0,1,4,4,103,100,0,0
320,photo,85,4,0,79,4,2,0,0,0,1,3,10,89,85,0,2
321,photo,34,10,6,34,0,0,0,0,0,1,2,9,50,34,0,2
322,photo,41,9,0,39,1,1,0,0,0,1,0,7,50,41,0,2
323,photo,23,5,1,22,1,0,0,0,0,1,0,7,29,23,0,2
324,video,217,24,5,206,10,1,0,0,0,3,6,0,246,217,0,0
325,photo,161,9,2,158,3,0,0,0,0,1,5,1,172,161,0,0
326,photo,279,0,0,276,3,0,0,0,0,1,4,23,279,279,0,3
327,photo,97,9,3,95,2,0,0,0,0,1,3,8,109,97,0,2
328,photo,489,3,0,480,6,3,0,0,0,1,2,21,492,489,0,3
329,photo,245,4,0,242,3,0,0,0,0,1,2,4,249,245,0,2
330,photo,270,5,0,268,2,0,0,0,0,1,1,8,275,270,0,2
331,photo,166,11,1,165,1,0,0,0,0,1,1,5,178,166,0,2
332,video,121,18,3,110,11,0,0,0,0,3,1,1,142,121,0,2
333,photo,33,9,1,33,0,0,0,0,0,1,1,0,43,33,0,2
334,photo,72,1,0,72,0,0,0,0,0,1,1,0,73,72,0,2
335,photo,174,0,0,173,1,0,0,0,0,1,1,0,174,174,0,2
336,photo,192,0,0,186,3,3,0,0,0,1,0,23,192,192,0,3
337,video,286,61,5,250,30,5,1,0,0,3,0,22,352,286,0,3
338,photo,231,0,0,230,0,1,0,0,0,1,0,21,231,231,0,3
339,photo,138,1,0,135,2,1,0,0,0,1,0,21,139,138,0,3
340,photo,104,6,1,102,2,0,0,0,0,1,0,4,111,104,0,2
341,photo,91,10,4,90,0,1,0,0,0,1,0,4,105,91,0,2
342,photo,682,22,0,657,12,13,0,0,0,1,6,21,704,682,0,3
343,video,1379,769,69,1131,234,4,4,2,4,3,5,9,2217,1373,6,0
344,photo,629,16,1,610,16,2,1,0,0,1,5,5,646,629,0,0
345,video,58,4,3,58,0,0,0,0,0,3,2,5,65,58,0,2
346,photo,272,9,0,268,2,2,0,0,0,1,1,9,281,272,0,2
347,photo,213,2,2,207,6,0,0,0,0,1,1,0,217,213,0,2
348,photo,225,2,0,220,5,0,0,0,0,1,0,0,227,225,0,2
349,photo,463,48,2,450,8,4,1,0,0,1,6,23,513,463,0,3
350,photo,285,7,0,276,8,1,0,0,0,1,6,2,292,285,0,0
351,photo,526,18,0,512,12,2,0,0,0,1,6,1,544,526,0,0
352,photo,418,4,0,406,9,3,0,0,0,1,5,23,422,418,0,3
353,photo,515,10,0,505,9,0,1,0,0,1,5,8,525,515,0,0
354,photo,377,5,0,365,10,2,0,0,0,1,5,8,382,377,0,0
355,photo,1186,37,1,1161,19,6,0,0,0,1,5,3,1224,1186,0,0
356,video,591,560,49,498,84,3,4,1,1,3,3,22,1200,589,2,3
357,photo,424,8,1,411,13,0,0,0,0,1,6,10,433,424,0,0
358,photo,119,16,0,105,0,0,0,8,6,1,5,12,135,105,14,0
359,photo,67,9,0,66,1,0,0,0,0,1,5,9,76,67,0,0
360,photo,439,10,3,424,15,0,0,0,0,1,5,9,452,439,0,0
361,status,1043,117,24,984,58,1,0,0,0,2,5,9,1184,1043,0,0
362,photo,690,10,0,667,21,2,0,0,0,1,5,9,700,690,0,0
363,status,84,7,1,84,0,0,0,0,0,2,3,0,92,84,0,2
364,photo,491,16,0,478,11,2,0,0,0,1,2,1,507,491,0,2
365,photo,63,1,0,61,0,2,0,0,0,1,1,2,64,63,0,2
366,link,46,3,1,46,0,0,0,0,0,0,0,10,50,46,0,2
367,photo,320,17,0,309,9,1,1,0,0,1,4,9,337,320,0,0
368,video,51,8,6,51,0,0,0,0,0,3,2,2,65,51,0,2
369,photo,85,9,2,83,2,0,0,0,0,1,0,1,96,85,0,2
370,photo,99,13,0,98,1,0,0,0,0,1,0,1,112,99,0,2
371,photo,213,13,1,212,1,0,0,0,0,1,4,22,227,213,0,3
372,photo,156,12,0,154,2,0,0,0,0,1,3,5,168,156,0,2
373,video,204,128,4,184,17,0,2,1,0,3,2,9,336,203,1,2
374,photo,246,8,0,241,3,2,0,0,0,1,2,3,254,246,0,2
375,photo,225,2,0,219,6,0,0,0,0,1,1,7,227,225,0,2
